Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
333,LifeStyle,5/2/2018,6/6/2018,7/11/2018,7/11/2018,7/12/2018,35,71,0,1
334,BBFF,5/16/2018,5/22/2018,6/29/2018,7/25/2018,7/24/2018,6,69,26,-1
335,BBFF,5/18/2018,5/24/2018,7/24/2018,7/27/2018,7/28/2018,6,71,3,1
336,Electronic,5/20/2018,6/25/2018,7/27/2018,7/29/2018,8/4/2018,36,76,2,6
337,BBFF,5/21/2018,6/22/2018,7/23/2018,7/30/2018,8/18/2018,32,89,7,19
338,Digital Service,5/28/2018,7/23/2018,8/2/2018,8/6/2018,8/13/2018,56,77,4,7
339,BBFF,6/9/2018,7/30/2018,8/17/2018,8/18/2018,8/27/2018,51,79,1,9
340,BBFF,6/28/2018,6/30/2018,9/6/2018,9/6/2018,9/10/2018,2,74,0,4
341,LifeStyle,7/13/2018,10/4/2018,9/20/2018,9/21/2018,10/5/2018,83,84,1,14
342,BBFF,2/1/2018,2/28/2018,4/6/2018,4/11/2018,7/11/2018,27,160,5,91
343,Book,3/22/2018,3/30/2018,6/1/2018,5/30/2018,6/1/2018,8,71,-2,2
344,LifeStyle,3/22/2018,3/30/2018,5/28/2018,5/30/2018,6/9/2018,8,79,2,10
345,Electronic,3/31/2018,5/24/2018,4/9/2018,6/8/2018,6/23/2018,54,84,60,15
346,BBFF,4/17/2018,5/3/2018,6/23/2018,6/25/2018,7/7/2018,16,81,2,12
347,BBFF,5/9/2018,5/15/2018,5/15/2018,7/17/2018,7/22/2018,6,74,63,5
348,Electronic,5/14/2018,6/15/2018,7/12/2018,7/22/2018,7/23/2018,32,70,10,1
349,LifeStyle,5/14/2018,5/25/2018,7/18/2018,7/22/2018,7/29/2018,11,76,4,7
350,LifeStyle,5/18/2018,7/25/2018,7/25/2018,7/26/2018,9/11/2018,68,116,1,47
351,BBFF,5/18/2018,6/30/2018,7/11/2018,7/26/2018,7/30/2018,43,73,15,4
352,LifeStyle,5/25/2018,7/24/2018,8/1/2018,8/2/2018,8/2/2018,60,69,1,0
353,LifeStyle,6/12/2018,6/27/2018,8/15/2018,8/20/2018,9/11/2018,15,91,5,22
354,LifeStyle,6/12/2018,6/15/2018,6/13/2018,8/20/2018,8/21/2018,3,70,68,1
355,BBFF,6/22/2018,6/30/2018,7/25/2018,8/30/2018,9/4/2018,8,74,36,5
356,BBFF,6/29/2018,8/16/2018,8/31/2018,9/6/2018,9/17/2018,48,80,6,11
357,Book,7/13/2018,9/17/2018,8/7/2018,9/20/2018,9/20/2018,66,69,44,0
358,LifeStyle,8/2/2018,8/7/2018,10/8/2018,10/10/2018,10/17/2018,5,76,2,7
359,BBFF,3/23/2018,4/13/2018,5/23/2018,5/30/2018,5/30/2018,21,68,7,0
360,LifeStyle,3/23/2018,3/29/2018,3/28/2018,5/30/2018,6/2/2018,6,71,63,3
361,BBFF,4/5/2018,4/13/2018,6/11/2018,6/12/2018,6/12/2018,8,68,1,0
362,BBFF,4/6/2018,4/20/2018,4/24/2018,6/13/2018,6/21/2018,14,76,50,8
363,BBFF,5/23/2018,6/12/2018,5/28/2018,7/30/2018,9/13/2018,20,113,63,45
364,Book,5/24/2018,7/20/2018,7/20/2018,7/31/2018,7/30/2018,57,67,11,-1
365,BBFF,5/25/2018,7/20/2018,7/25/2018,8/1/2018,8/21/2018,56,88,7,20
366,LifeStyle,6/30/2018,7/16/2018,9/5/2018,9/6/2018,9/6/2018,16,68,1,0
367,BBFF,1/30/2018,2/8/2018,3/12/2018,4/7/2018,4/10/2018,9,70,26,3
368,BBFF,3/23/2018,3/30/2018,5/21/2018,5/29/2018,5/30/2018,7,68,8,1
369,BBFF,3/24/2018,4/13/2018,5/2/2018,5/30/2018,8/19/2018,20,148,28,81
370,BBFF,3/24/2018,3/28/2018,4/24/2018,5/30/2018,7/2/2018,4,100,36,33
371,BBFF,3/30/2018,4/11/2018,4/10/2018,6/5/2018,6/15/2018,12,77,56,10
372,Electronic,4/6/2018,4/11/2018,6/11/2018,6/12/2018,6/30/2018,5,85,1,18
373,BBFF,5/1/2018,5/14/2018,5/29/2018,7/7/2018,7/2/2018,13,62,39,-5
374,BBFF,4/23/2018,4/24/2018,6/25/2018,6/28/2018,6/30/2018,1,68,3,2
375,BBFF,5/17/2018,5/23/2018,7/18/2018,7/22/2018,7/19/2018,6,63,4,-3
376,BBFF,5/18/2018,5/21/2018,7/20/2018,7/23/2018,8/5/2018,3,79,3,13
377,BBFF,6/11/2018,7/13/2018,7/26/2018,8/16/2018,8/18/2018,32,68,21,2
378,BBFF,7/17/2018,7/24/2018,9/20/2018,9/21/2018,10/2/2018,7,77,1,11
379,BBFF,7/25/2018,7/31/2018,9/24/2018,9/29/2018,10/1/2018,6,68,5,2
380,Digital Service,1/25/2018,3/30/2018,3/28/2018,3/31/2018,3/31/2018,64,65,3,0
